mood,language,playlist_name,link
happy,english,Happy Hits!,https://open.spotify.com/playlist/37i9dQZF1DXdPec7aLTmlC
happy,hindi,Bollywood Happy Hits,https://open.spotify.com/playlist/37i9dQZF1DXdPec7aLTmlC
sad,english,Sad Songs,https://open.spotify.com/playlist/37i9dQZF1DX7qK8ma5wgG1
sad,hindi,Bollywood Sad,https://open.spotify.com/playlist/37i9dQZF1DXdLtD0qszB1G
chill,english,Chill Vibes,https://open.spotify.com/playlist/37i9dQZF1DX4WYpdgoIcn6
energetic,english,Beast Mode,https://open.spotify.com/playlist/37i9dQZF1DX70RN3TfWWJh
romantic,hindi,Bollywood Romance,https://open.spotify.com/playlist/37i9dQZF1DWXtlo6ENS92N
focus,english,Deep Focus,https://open.spotify.com/playlist/37i9dQZF1DWZeKCadgRdKQ
party,hindi,Bollywood Dance Hits,https://open.spotify.com/playlist/37i9dQZF1DXd0XRsAMDkXW
relax,english,Peaceful Piano,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO
workout,english,Workout Mix,https://open.spotify.com/playlist/37i9dQZF1DX70RN3TfWWJh
throwback,english,Throwback,https://open.spotify.com/playlist/37i9dQZF1DX4UtSsGT1Sbe
romantic,english,Love Pop,https://open.spotify.com/playlist/37i9dQZF1DXbTxeAdrVG2l
happy,english,Have a Great Day,https://open.spotify.com/playlist/37i9dQZF1DX3rxVfibe1L0
